transaction_id,user_id,stock_symbol,transaction_type,quantity,price_per_share,transaction_date
1,1025,ICICIBANK,Buy,17,3879.13,2024-10-17
2,1032,ICICIBANK,Sell,31,1753.17,2023-10-27
3,1014,HCLTECH,Buy,19,989.11,2024-08-11
4,1007,WIPRO,Buy,20,845.67,2024-11-22
5,1005,SBIN,Sell,36,852.45,2023-11-23
6,1028,SBIN,Buy,36,2169.53,2023-02-01
7,1034,WIPRO,Buy,36,3705.98,2023-07-21
8,1006,ICICIBANK,Buy,40,2227.52,2024-02-02
9,1022,HDFCBANK,Sell,46,3546.65,2024-01-13
10,1013,HDFCBANK,Buy,10,3311.13,2023-11-11
11,1029,INFY,Buy,21,3562.81,2024-12-14
12,1032,INFY,Sell,36,1518.82,2024-08-31
13,1008,HCLTECH,Sell,35,1211.21,2024-10-06
14,1039,HCLTECH,Sell,29,820.71,2023-08-24
15,1025,SBIN,Buy,19,1143.54,2024-01-06
16,1012,TCS,Sell,31,741.8,2023-10-06
17,1044,RELIANCE,Buy,3,3448.61,2024-03-29
18,1045,HCLTECH,Sell,46,2336.01,2024-11-23
19,1034,HDFCBANK,Buy,44,2564.3,2024-12-06
20,1027,WIPRO,Sell,32,2810.86,2023-06-19
21,1045,SBIN,Buy,21,2644.74,2024-01-28
22,1032,SBIN,Buy,16,556.73,2023-04-19
23,1018,INFY,Buy,24,3281.04,2023-08-07
24,1022,ICICIBANK,Buy,7,3240.91,2023-04-19
25,1045,HDFCBANK,Buy,37,2719.72,2024-08-10
26,1035,INFY,Buy,8,2722.5,2023-03-15
27,1039,INFY,Sell,6,1795.49,2024-04-25
28,1008,TCS,Buy,13,3863.61,2024-09-12
29,1012,INFY,Sell,14,3045.04,2023-07-14
30,1004,TCS,Sell,40,855.25,2024-12-07
31,1017,INFY,Buy,5,2764.24,2024-02-18
32,1023,ICICIBANK,Buy,4,2262.73,2024-07-01
33,1003,INFY,Sell,13,1410.47,2024-09-21
34,1047,AXISBANK,Buy,45,2854.24,2024-04-12
35,1050,TCS,Buy,11,1698.09,2024-12-01
36,1017,INFY,Sell,43,1111.87,2023-04-25
37,1031,ICICIBANK,Sell,42,1750.03,2023-08-29
38,1043,WIPRO,Buy,36,2917.88,2023-03-18
39,1030,INFY,Sell,48,659.94,2024-07-20
40,1018,RELIANCE,Buy,49,3835.95,2023-02-27
41,1023,WIPRO,Sell,38,3814.17,2024-11-29
42,1041,RELIANCE,Sell,25,3119.7,2024-10-22
43,1042,INFY,Buy,39,1173.08,2024-06-15
44,1022,RELIANCE,Buy,15,2730.9,2023-09-14
45,1025,ICICIBANK,Buy,26,3550.91,2024-01-02
46,1037,ICICIBANK,Buy,11,2058.73,2024-03-10
47,1017,RELIANCE,Sell,34,3597.31,2023-03-20
48,1036,TCS,Buy,32,1640.8,2023-10-02
49,1030,TCS,Sell,13,2419.97,2023-12-04
50,1041,INFY,Buy,1,1906.36,2023-09-03
51,1044,ICICIBANK,Sell,1,1247.34,2024-04-19
52,1046,TCS,Buy,13,916.16,2024-05-12
53,1042,HDFCBANK,Sell,18,2909.89,2024-12-10
54,1012,INFY,Sell,26,2696.74,2023-06-08
55,1002,WIPRO,Sell,8,3514.76,2024-03-05
56,1009,HCLTECH,Sell,8,3551.52,2024-01-06
57,1018,TCS,Buy,3,1220.08,2023-12-10
58,1017,HCLTECH,Sell,24,3784.54,2024-11-03
59,1003,AXISBANK,Sell,41,2024.04,2024-02-09
60,1035,RELIANCE,Buy,25,2554.94,2023-07-22
61,1001,RELIANCE,Buy,18,1666.93,2023-02-18
62,1024,INFY,Sell,50,2671.88,2024-09-17
63,1003,WIPRO,Buy,10,3936.7,2024-12-14
64,1019,SBIN,Sell,36,953.74,2024-03-02
